Nama Pekerjaan,Perusahaan,Lokasi,Gaji,Deskripsi Pekerjaan,Kategori Minat,Kemampuan Dibutuhkan,Kondisi Kesehatan,Posisi,Kualifikasi,Minimal Pengalaman,Tipe Pekerjaan
Asisten Dapur,PT Roti Nusantara,Jakarta,Rp 2.500.000,Membantu koki menyiapkan bahan masakan dan menjaga kebersihan area dapur.,Memasak,"Mengikuti langkah-langkah sederhana, Kerja tim, Ketelitian","Tidak alergi bahan kimia tertentu, Membutuhkan istirahat berkala",Staff,Lulusan SMA/SMK,0-1 tahun,Full-time
Petugas Kebun,Taman Kota Mandiri,Bandung,Rp 2.000.000,"Merawat tanaman, menyiram bunga, dan menjaga kebersihan taman.",Berkebun,"Menggunakan alat sederhana, Ketelitian, Koordinasi tangan dan mata",Tidak cocok di suhu panas,Staff,Lulusan SMP/SMK,0-1 tahun,Part-time
Operator Komputer,PT Digital Jaya,Surabaya,Rp 3.000.000,Mengoperasikan komputer untuk tugas-tugas sederhana seperti mengetik dan pengarsipan.,Teknologi dasar,"Mengetik, Membaca dasar, Kreativitas",Membutuhkan lingkungan kerja tenang,Operator Komputer,Lulusan SMA/SMK,0-2 tahun,Full-time
Pembersih Ruangan,PT Bersih Sejahtera,Yogyakarta,Rp 2.200.000,Membersihkan ruangan kerja dan menjaga kebersihan kantor.,Lingkungan dan alam,"Menjaga kebersihan, Ketelitian, Disiplin","Tidak boleh mengangkat beban berat, Tidak alergi bahan kimia tertentu",Staff,Lulusan SMP/SMK,0-1 tahun,Full-time
Fotografer Pemula,Studio Kreatif Nusantara,Denpasar,Rp 3.500.000,Mengambil foto sederhana dan membantu pengeditan dasar.,"Fotografi, Seni","Kreativitas, Mendengarkan instruksi, Pemecahan masalah sederhana","Membutuhkan lingkungan kerja tenang, Tidak sensitif terhadap cahaya terang",Staff,Lulusan SMA/SMK,1 tahun,Full-time
Perancang Kerajinan,Sanggar Kerajinan Daerah,Solo,Rp 2.800.000,Membantu pembuatan kerajinan seperti anyaman dan dekorasi.,"Kerajinan tangan, Seni","Ketelitian, Koordinasi tangan dan mata, Kesabaran","Tidak cocok di suhu dingin, Membutuhkan lingkungan kerja bebas tekanan",Staff,Lulusan SMP/SMK,0-1 tahun,Part-time
Penjaga Perpustakaan,Perpustakaan Nasional,Malang,Rp 2.600.000,"Menata buku, membantu pengunjung, dan menjaga kebersihan perpustakaan.","Membaca cerita, Lingkungan dan alam","Membaca dasar, Menulis sederhana, Berbicara dengan orang lain","Tidak cocok di suhu dingin, Membutuhkan lingkungan kerja tenang",Staff,Lulusan SMP/SMK,0-2 tahun,Full-time
Asisten Toko Roti,Toko Roti Manis,Semarang,Rp 2.700.000,"Menyiapkan bahan roti, memanggang, dan melayani pelanggan.",Memasak,"Mengikuti instruksi, Kerja tim, Ketelitian","Tidak alergi bahan kimia tertentu, Membutuhkan istirahat berkala",Staf Roti,Lulusan SMA/SMK,0-1 tahun,Full-time
Petugas Museum,Museum Nasional Indonesia,Medan,Rp 2.300.000,Membersihkan area pameran dan memastikan kebersihan fasilitas museum.,Lingkungan dan alam,"Menjaga kebersihan, Ketelitian, Disiplin","Tidak alergi bahan kimia tertentu, Tidak boleh mengangkat beban berat",Staff,Lulusan SMP/SMK,0-1 tahun,Part-time
Asisten Desain Grafis,Studio Kreatif Nusantara,Jakarta,Rp 3.200.000,Membantu membuat desain sederhana menggunakan komputer.,"Teknologi dasar, Seni","Kreativitas, Pemecahan masalah sederhana, Mengetik","Membutuhkan lingkungan kerja tenang, Tidak cocok di suhu panas",Asisten Desain,Lulusan SMA/SMK,1 tahun,Full-time
Penjaga Kebun Binatang,Kebun Binatang Lokal,Surabaya,Rp 2.800.000,"Merawat hewan, memberi makan, dan menjaga kebersihan kandang.","Merawat hewan, Lingkungan dan alam","Menggunakan alat sederhana, Kesabaran, Koordinasi tangan dan mata","Tidak cocok di suhu panas, Membutuhkan istirahat berkala",Staff,Lulusan SMA/SMK,0-1 tahun,Full-time
Asisten Penjahit,Konveksi Nusantara,Solo,Rp 2.500.000,"Membantu penjahit dalam menyiapkan pola, menjahit, atau merapikan kain.","Seni, Kerajinan tangan","Ketelitian, Kreativitas, Koordinasi tangan dan mata",Membutuhkan lingkungan kerja tenang,Asisten,Lulusan SMP/SMK,0-1 tahun,Full-time
